PC,term,estimate,std.error,statistic,p.value
PC1,(Intercept),160.48223383673536,10.091319119976706,15.902998599959625,2.428439402548997e-26
PC1,time,-0.00848466128055492,5.482721043743704e-4,-15.475274435559164,1.247983844072048e-25
PC1,ONSET,-0.9285407842784612,1.000564959371496,-0.9280164926640277,0.35622576010664964
PC1,POST,-0.007903914754601617,0.002013372435109584,-3.9257092313233253,1.8366517629099792e-4
PC2,(Intercept),45.91264114427102,14.356324871226343,3.1980776108160804,0.0019911348794256316
PC2,time,-0.002526587334656628,7.799944045618042e-4,-3.2392377687325187,0.0017541718287943542
PC2,ONSET,0.022434934334893075,1.4234447886071557,0.0157610147681567,0.9874647870341822
PC2,POST,0.013904006256428838,0.0028643062836042786,4.854231663707708,5.9803092903465345e-6
PC3,(Intercept),80.93733631107705,12.99412477051142,6.228763979144979,2.1330192200624156e-8
PC3,time,-0.004417013407618344,7.059846237870113e-4,-6.25652919170505,1.893995898982287e-8
PC3,ONSET,2.0818233391069803,1.288381208492089,1.6158442279234495,0.1101148492805467
PC3,POST,0.012588583032676053,0.0025925265389271264,4.85572002587315,5.945841734789839e-6
PC4,(Intercept),3.116285133967155,14.573956734176061,0.21382560623769645,0.8312339637641947
PC4,time,-1.6982856150771675e-4,7.918185752237098e-4,-0.2144791330005559,0.8307260998628845
PC4,ONSET,-0.996868813358654,1.4450232179008202,-0.6898635267651972,0.492301612049556
PC4,POST,0.003396832899282417,0.0029077271673019407,1.1682089494092096,0.2462358966410236
PC5,(Intercept),-34.00905186621786,13.315529040279632,-2.5540894217075474,0.012569428185586961
PC5,time,0.0018498834858214587,7.234468597192679e-4,2.557041282257141,0.012471519450876612
PC5,ONSET,-0.7033442328135662,1.320248781630852,-0.532736134734207,0.5957116263318071
PC5,POST,-0.004716732407939211,0.0026566516042019757,-1.7754425911470078,0.07967613268948139
PC6,(Intercept),13.689471607199074,13.477533878231727,1.015725260339331,0.3128609706254717
PC6,time,-7.436653232534016e-4,7.322487549290816e-4,-1.0155911065023602,0.31292447459425865
PC6,ONSET,1.1348621894654818,1.3363117325866531,0.849249588843142,0.39830864271885646
PC6,POST,-6.002117261453504e-4,0.00268897404601649,-0.2232121678654795,0.8239465440882425
PC7,(Intercept),10.575507358754702,13.116591193775154,0.8062694950631385,0.42250796835852233
PC7,time,-5.758168992037238e-4,7.126383548601959e-4,-0.8080071683998632,0.4215128718349217
PC7,ONSET,-0.3845440050262509,1.300523883831201,-0.2956839238456939,0.7682472776857374
PC7,POST,0.0032187258174678525,0.0026169604625692357,1.2299482026976538,0.2223667094699095
PC8,(Intercept),-1.9511600183871396,12.809761414999203,-0.15231821695777156,0.8793243028537312
PC8,time,1.0412931985298454e-4,6.959679665299732e-4,0.14961797792528145,0.8814473362348794
PC8,ONSET,0.1763031990854873,1.2701013868825926,0.1388103350695614,0.8899532682395505
PC8,POST,-5.224170029978032e-4,0.0025557432310543433,-0.20440903321194984,0.8385595717773291
PC9,(Intercept),2.158928615760842,12.297079751319831,0.17556433392481874,0.8610854523689766
PC9,time,-1.1930235466379916e-4,6.681134262783227e-4,-0.17856601883959175,0.8587356146819152
PC9,ONSET,0.35941953295050777,1.2192684579174995,0.29478293366531716,0.7689329705306661
PC9,POST,-2.4391688805971883e-4,0.0024534554015480108,-0.09941769795604158,0.9210584795706985
PC10,(Intercept),14.888472403226436,11.591891793026525,1.2843867652545786,0.20276036796939886
PC10,time,-8.216608823146711e-4,6.297998142246161e-4,-1.304638178285693,0.19580393272855615
PC10,ONSET,2.8478816060115157,1.1493483263221922,2.4778229025873055,0.015351751720357769
PC10,POST,-0.00287827745870895,0.0023127596233332172,-1.2445208008952924,0.2169874939877656
PC11,(Intercept),-3.4799076823833435,11.862898331905962,-0.2933438005638072,0.7700285955882413
PC11,time,1.8872395843702337e-4,6.445238878173841e-4,0.29281142561855733,0.7704340161432843
PC11,ONSET,-0.40226387297490906,1.1762189111624366,-0.3419974540091,0.7332609465662736
PC11,POST,5.188830473632372e-4,0.0023668295708422766,0.21923126774970275,0.8270353355477442
PC12,(Intercept),-0.2443501907076523,11.616592559965754,-0.021034583889061927,0.9832711054564314
PC12,time,1.3747513703077657e-5,6.311418331726269e-4,0.0217819719443593,0.9826767980948068
PC12,ONSET,0.09875000384070187,1.1517974334780714,0.08573556510063358,0.9318935478158417
PC12,POST,-3.964731840965288e-4,0.00231768780394967,-0.17106410251669016,0.8646107541195602
PC13,(Intercept),-3.339406814054056,11.381804424724285,-0.29339871688534575,0.769986778694176
PC13,time,1.844880516920508e-4,6.183855439838185e-4,0.29833823491979683,0.7662283069469458
PC13,ONSET,-0.4644081764077604,1.1285179416489266,-0.4115204191873046,0.6818053040207325
PC13,POST,1.344539285164801e-4,0.002270843981653914,0.059208791798436924,0.952935326506418
PC14,(Intercept),-1.944096053352233,11.196514176476814,-0.17363404562436574,0.8625972221266833
PC14,time,1.072659988966154e-4,6.083185276583131e-4,0.1763319610032751,0.8604844033755008
PC14,ONSET,0.31053593839193194,1.1101462176448114,0.27972525912013435,0.7804193889842668
PC14,POST,-0.001490851731084243,0.0022338757445106087,-0.6673834633585919,0.5064720683601636
PC15,(Intercept),10.872048527016014,10.851690782415151,1.0018759974836229,0.319462404367957
PC15,time,-5.988930290720511e-4,5.895839057865854e-4,-1.0157893103833051,0.3128306545134204
PC15,ONSET,1.2966742782356941,1.075956613573461,1.205136212629603,0.23174833200961217
PC15,POST,-1.4517824681014793e-4,0.0021650782059202045,-0.06705450473482738,0.9467077274681086
PC16,(Intercept),-5.815164612590765,10.678976151387706,-0.5445432717662825,0.5876015222427912
PC16,time,3.136743013265107e-4,5.802001361243811e-4,0.5406312094681521,0.5902828757645984
PC16,ONSET,0.6506979291619738,1.0588317753117575,0.6145432582719623,0.5406223504711729
PC16,POST,-0.0024697474050664075,0.0021306189966615856,-1.159168959319425,0.24987907730237596
PC17,(Intercept),3.5658407243421797,10.7001683395006,0.33325089953758663,0.7398277441394194
PC17,time,-1.9639137187758146e-4,5.813515302518298e-4,-0.33781862033201954,0.7363959129777038
PC17,ONSET,0.7138681156720483,1.060933003167707,0.6728682334705387,0.5029946646401438
PC17,POST,-8.447550999016699e-4,0.002134847162164913,-0.39569816278792425,0.6933943074856014
PC18,(Intercept),4.6433700175303665,10.370788988437459,0.447735463782681,0.6555695051872619
PC18,time,-2.524661686480145e-4,5.634559996677897e-4,-0.44806722937881055,0.6553310875093434
PC18,ONSET,0.2148013118944731,1.02827469228723,0.2088948736224194,0.8350679990719803
PC18,POST,3.0049172466354326e-4,0.00206913094625296,0.1452260550293886,0.8849022858147476
PC19,(Intercept),0.46593214471467315,10.254901495906193,0.04543506779667026,0.9638751845141409
PC19,time,-2.337856138202008e-5,5.57159708900906e-4,-0.041960251268237506,0.9666362551887859
PC19,ONSET,-0.14817639742903246,1.016784324885542,-0.14573041086733166,0.8845054146368259
PC19,POST,1.6135145546143995e-4,0.0020460096198671425,0.07886153314954467,0.9373421754996041
PC20,(Intercept),4.829082332236007,10.051952193396625,0.4804123855073993,0.6322618623082695
PC20,time,-2.6829444812521074e-4,5.461332573691177e-4,-0.491261875201783,0.6246033029181065
PC20,ONSET,1.0427812419879685,0.9966616869820418,1.046274032210047,0.29862526825210217
PC20,POST,-9.543225060482626e-4,0.002005518131436399,-0.4758483561376503,0.6354956862305763
PC21,(Intercept),0.9935207414300979,9.894453841880331,0.10041188299093529,0.9202717275313196
PC21,time,-4.987071256387171e-5,5.375762043620046e-4,-0.09276956859178369,0.9263214873352583
PC21,ONSET,-1.2405862760114876,0.9810455589206449,-1.2645552132934497,0.2097487643811268
PC21,POST,0.0028823467144690968,0.0019740948025585743,1.4600852556489994,0.14823212461049518
PC22,(Intercept),4.840197199970847,9.822307403839133,0.49277598439639697,0.6235377590782638
PC22,time,-2.677216203268262e-4,5.336564116235451e-4,-0.5016741380701032,0.6172920178656125
PC22,ONSET,1.4386880802203845,0.9738921633150508,1.4772560396452987,0.14358260875168577
PC22,POST,-0.0022387891192013603,0.0019597004852333066,-1.1424139229800863,0.25673260300324563
PC23,(Intercept),-0.8876890876558428,9.805209932401056,-0.09053238979845783,0.9280933062981318
PC23,time,4.866165207261961e-5,5.327274878095832e-4,0.09134436120933394,0.9274501921304339
